AVar1;AVar2;AVar3;AVar4;AVar5;BVar1;BVar2;BVar3;BVar4;BVar5;CVar1;CVar2;CVar3;CVar4;CVar5;DVar1;DVar2;DVar3;DVar4;DVar5;A;B;C;D;contVar1;contVar2;contVar3;contVar4;contVar5;wokr_ex;bin1;bin2;age;indVar1;indVar2;inCVar3;proba
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;4;5;5;5;5;51;30;37;16;270;25;0;0;45-54;1;Tak;A;C
5;5;5;5;5;4;4;4;4;4;4;3;4;3;3;5;5;4;5;4;5;4;3;5;78;43;37;37;389;19;0;1;45-54;1;Tak;A;C
4;2;4;2;3;4;4;3;3;3;2;3;3;3;2;2;3;2;2;2;3;3;3;2;88;47;59;36;422;6;1;1;35-44;2;Nie;B;B
5;4;4;5;5;5;5;5;5;5;4;4;5;5;5;5;5;4;4;4;5;5;5;4;38;27;27;14;235;20;1;0;45-54;2;Nie;A;A
5;5;5;5;5;5;5;5;5;5;3;2;5;5;1;5;5;4;1;1;5;5;3;4;89;77;93;84;720;20;1;1;45-54;2;Nie;B;B
5;5;5;5;5;4;5;4;5;4;3;5;5;5;5;4;5;1;5;5;5;4;5;5;76;55;76;56;642;27;1;0;45-54;1;Tak;C;B
4;5;2;4;4;4;4;4;3;3;4;4;4;3;2;5;4;1;2;3;4;4;4;3;101;58;91;68;643;21;0;0;45-54;2;Nie;C;C
5;5;5;4;5;5;5;5;5;5;5;3;5;5;5;5;5;5;4;5;5;5;5;5;77;37;37;49;377;1;1;0;25-34;2;Nie;A;B
4;3;3;3;4;4;3;4;4;5;3;3;3;3;3;2;3;3;1;1;3;4;3;2;55;46;40;40;435;5;0;0;25-34;2;Nie;C;A
2;3;2;4;4;5;5;5;4;4;4;4;4;4;4;2;2;4;4;3;3;5;4;3;95;69;54;59;475;21;0;1;45-54;1;Nie;A;C
2;4;4;3;4;4;4;4;4;3;1;1;1;1;1;3;3;1;5;3;4;4;1;3;74;74;68;29;547;10;0;0;35-44;2;Nie;B;C
4;4;2;4;4;5;5;5;5;5;3;3;3;3;3;3;4;2;3;3;4;5;3;3;100;45;50;66;507;20;1;0;35-44;2;Nie;A;A
2;2;2;3;2;2;4;4;2;1;2;2;4;3;2;3;3;3;2;2;2;2;2;3;64;36;43;23;350;33;0;0;55-64;1;Tak;B;B
5;5;5;5;5;4;3;4;4;3;5;3;5;3;1;4;4;5;3;3;5;4;3;4;101;60;91;63;619;30;0;0;55-64;1;Nie;C;C
5;5;5;4;2;5;4;4;5;4;3;4;4;3;4;3;2;3;2;2;5;4;4;2;62;36;41;21;350;6;0;1;35-44;2;Tak;C;A
5;4;4;5;5;5;5;4;5;4;3;4;4;5;3;5;5;3;4;4;5;5;4;4;132;67;97;61;684;26;1;0;45-54;1;Tak;A;A
4;4;4;5;4;4;4;4;4;4;4;3;3;2;3;3;4;2;3;4;4;4;3;3;58;44;39;25;359;27;0;1;45-54;2;Nie;C;A
2;2;2;2;3;4;4;3;3;3;3;3;4;3;3;2;2;2;2;2;2;3;3;2;79;46;68;36;521;7;1;0;25-34;2;Nie;B;C
4;4;4;4;4;4;4;4;4;2;3;2;4;3;3;3;4;4;2;2;4;4;3;3;61;54;53;51;451;42;0;1;65+;1;Tak;C;C
2;2;1;3;4;4;4;4;3;3;3;3;4;3;3;1;2;4;3;2;2;4;3;2;61;40;60;54;473;40;0;1;55-64;1;Tak;B;D
4;4;2;2;2;5;5;5;5;5;4;2;2;4;1;2;2;1;2;2;2;5;2;2;92;43;61;56;518;10;1;0;35-44;2;Tak;B;A
1;3;4;4;3;2;5;5;3;3;5;3;5;5;5;3;1;5;2;3;3;3;5;3;46;32;39;18;301;25;0;0;55-64;2;Nie;A;B
4;5;4;5;5;5;5;5;5;5;2;3;3;3;3;5;4;2;3;2;5;5;3;3;141;101;116;109;1006;19;0;0;45-54;1;Tak;B;C
4;5;2;4;2;2;4;4;2;2;5;4;5;5;4;2;4;5;4;4;4;2;5;4;62;44;58;34;456;30;1;0;45-54;1;Nie;A;D
4;4;4;4;4;2;4;4;4;3;3;1;4;3;2;4;4;4;2;1;4;4;3;4;59;47;56;40;463;44;0;0;65+;1;Tak;C;B
2;4;4;5;5;5;5;5;5;4;3;1;1;1;1;5;5;1;5;5;4;5;1;5;72;52;63;22;423;16;1;0;35-44;1;Tak;C;C
4;4;4;3;4;4;4;4;3;3;2;3;3;3;3;4;4;1;3;3;4;4;3;3;146;69;82;62;691;5;0;0;35-44;2;Nie;B;D
4;4;4;3;4;4;5;5;4;4;5;5;5;5;5;4;3;5;4;4;4;4;5;4;110;65;96;49;588;44;0;0;65+;1;Tak;A;C
4;4;5;5;4;4;4;4;5;3;4;3;3;3;3;5;4;4;5;5;4;4;3;5;119;92;110;67;656;41;0;0;55-64;1;Tak;A;C
4;4;4;4;5;4;4;4;5;4;4;4;5;5;4;5;4;3;4;5;4;4;4;4;89;50;83;51;553;4;1;0;25-34;2;Nie;A;B
1;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;81;59;68;63;567;11;0;0;35-44;2;Nie;A;D
5;5;5;5;4;4;5;5;4;3;3;4;4;4;3;5;5;2;3;3;5;4;4;3;63;39;45;23;305;20;0;1;45-54;2;Nie;C;C
4;4;4;4;4;4;4;4;4;4;2;2;2;2;2;4;4;5;4;3;4;4;2;4;84;60;64;69;549;14;0;1;35-44;2;Nie;C;B
3;3;3;3;3;2;4;4;3;3;4;3;5;5;4;3;4;5;3;3;3;3;4;3;119;64;72;49;529;14;1;0;35-44;1;Tak;C;D
5;5;5;5;5;5;5;5;5;5;2;4;5;5;4;5;5;4;4;4;5;5;4;4;78;62;47;57;447;12;1;1;45-54;1;Tak;A;C
4;4;2;4;4;5;4;5;5;5;1;1;1;1;1;2;4;3;2;3;4;5;1;3;56;44;45;37;451;13;1;1;35-44;1;Nie;B;C
5;5;5;5;4;5;5;5;4;3;3;3;3;3;3;5;5;3;2;3;5;5;3;3;46;33;25;21;285;32;0;0;55-64;1;Nie;C;D
2;2;4;4;4;2;4;4;2;2;4;1;1;1;1;2;2;2;4;4;4;2;1;2;100;69;83;57;553;7;1;1;35-44;2;Nie;B;B
2;2;2;2;2;2;4;4;2;4;4;2;4;4;4;2;2;4;2;2;2;4;4;2;87;65;50;40;510;21;0;0;45-54;1;Tak;B;D
4;4;4;4;4;4;4;5;5;5;3;4;4;4;4;2;4;3;4;4;4;5;4;4;95;52;71;44;534;29;0;0;45-54;1;Tak;C;B
4;5;4;5;4;5;3;5;3;5;3;1;2;3;3;4;4;1;5;5;4;5;3;4;145;104;94;81;819;14;1;0;35-44;2;Nie;C;D
4;4;4;5;3;4;3;4;5;4;2;2;2;2;2;4;5;2;4;3;4;4;2;4;78;70;64;77;593;3;1;1;25-34;1;Nie;C;C
5;4;4;4;4;4;4;5;4;3;3;2;2;3;1;4;4;3;3;4;4;4;2;4;90;53;75;47;486;20;1;0;45-54;1;Tak;C;A
